Symbol,Company_name,Price,Change_abs,Change_rel,Volume,Avg_vol_3M,Market_cap,PE_ratio_TTM,Wk_change_rel
TAC,TransAlta Corporation,8.03,0.12,0.0147,1262000.000,787893,2394000000.000,5.82,-0.2196
PBF,PBF Energy Inc.,36.2,3.00,0.0765,2856000.000,1962000.000,4241000000.000,5.86,-0.2193
DOOO,BRP Inc.,69.34,0.38,0.0055,86723,106645,5141000000.000,12.84,-0.2192
NICE,NICE Ltd.,171.76,4.97,0.0281,303042,700556,11619000000.000,30.84,-0.2191
AVAL,Grupo Aval Acciones y Valores S.A.,2.07,0.0501,0.0236,705432,60830,2457000000.000,23.00,-0.2189
LEGN,Legend Biotech Corporation,54.68,0.32,0.0058,628417,1178000.000,9967000000.000,0,-0.2181
SHC,Sotera Health Company,13.22,0.41,0.0301,1509000.000,1023000.000,3742000000.000,69.58,-0.2173
DOCS,"Doximity, Inc.",26.99,0.40,0.0146,936150,1574000.000,5010000000.00,37.49,-0.2165
RMBS,Rambus Inc.,42.1,2.78,0.0619,2990000.00,1412000.000,4533000000.000,20.14,-0.2162
RTO,Rentokil Initial plc,30.48,0.41,0.0136,464493,534283,15310000000.00,30.48,-0.2156
RINIF,Rinnai Corporation,20.3833,0,0,24067,0,3349000000.000,20.18,-0.0062
JBAXY,Julius Bär Gruppe AG,10.86,0.08,0.0074,11322,189993,11122000000.000,21.72,-0.2148
THS,"TreeHouse Foods, Inc.",39.31,0.04,0.001,492431,476438,2068000000.000,83.64,-0.2144
AQN,Algonquin Power & Utilities Corp.,6.16,0.03,0.0048,5024000.000,5774000.000,4248000000.000,0,-0.2143
BZ,Kanzhun Limited,13.4,0.15,0.0111,4373000.000,4239000.000,5849000000.000,33.50,-0.2141
APAJF,APA Group,4.9,0,0,22000,7800,6584000000.000,8.31,-0.2135
GL,Globe Life Inc.,90.91,2.04,0.0219,914736,1516000.000,8388000000.000,8.22,-0.2119
HHH,Howard Hughes Holdings Inc.,63.95,4.44,0.0649,478056,310994,3213000000.000,0,-0.2106
CIVI,"Civitas Resources, Inc.",60.51,6.63,0.0987,3537000.000,1438000.000,5951000000.000,6.94,-0.2103
JBHT,"J.B. Hunt Transport Services, Inc.",163.59,4.77,0.0283,1157000.000,906216,16684000000.000,28.16,-0.2102
HUN,Huntsman Corporation,22.48,0.62,0.0268,2690000.00,1836000.000,3889000000.000,0,-0.2098
CRI,"Carter's, Inc.",58.39,0.03,0.0005,1172000.000,946940,2110000000.00,9.05,-0.2098
